Date,Open,High,Low,Close,Adj Close,Volume
2023-01-11,65.000000,65.000000,63.630001,64.089996,63.904381,7613900
2023-01-12,64.500000,66.480003,64.250000,65.739998,65.549599,12351900
2023-01-13,65.750000,66.129997,64.669998,65.309998,65.120850,7200100
2023-01-17,65.419998,65.989998,64.559998,64.720001,64.532562,7503300
2023-01-18,65.199997,67.050003,64.279999,64.419998,64.233429,13922500
2023-01-19,64.040001,66.019997,63.779999,65.669998,65.479805,10038400
2023-01-20,66.120003,67.110001,65.430000,66.910004,66.716217,12439900
2023-01-23,67.309998,67.709999,66.330002,66.500000,66.307404,9891500
2023-01-24,64.360001,67.459999,64.250000,64.430000,64.243401,8519100
2023-01-25,63.860001,64.540001,62.310001,64.519997,64.333138,10053300
2023-01-26,65.379997,67.129997,64.760002,67.089996,66.895691,12564400
2023-01-27,67.150002,67.930000,66.510002,66.540001,66.347290,8761000
2023-01-30,65.820000,65.959999,64.070000,64.129997,63.944263,9515100
2023-01-31,64.199997,64.790001,63.630001,64.790001,64.602356,10315300
2023-02-01,64.260002,64.510002,62.290001,63.500000,63.316093,12695000
2023-02-02,63.220001,63.389999,61.529999,62.470001,62.289078,13098500
2023-02-03,62.689999,64.019997,61.009998,61.240002,61.062637,17851500
2023-02-06,61.500000,61.849998,60.209999,61.549999,61.371738,11803100
2023-02-07,62.000000,64.690002,61.799999,64.599998,64.412903,12969300
2023-02-08,64.500000,65.010002,63.709999,63.930000,63.744846,7668300
2023-02-09,63.990002,64.349998,63.009998,63.200001,63.016960,6738800
2023-02-10,64.150002,65.769997,64.019997,65.629997,65.439919,13530700
2023-02-13,65.010002,65.459999,64.309998,64.760002,64.572441,7835100
2023-02-14,65.050003,66.989998,64.449997,66.339996,66.147865,12410300
2023-02-15,65.349998,65.400002,62.680000,62.900002,62.717831,17780100
2023-02-16,62.509998,63.860001,62.410000,62.500000,62.318989,12173900
2023-02-17,61.299999,61.619999,60.049999,60.730000,60.554115,20380400
